1,好きなポケモンは何？,ピカチュウかな,アブソル！,あんまり興味ないな,あのアニメ見た？,2,3,0,1
2,今日バイトだー,頑張れ！,私もだ～お互い頑張ろう！,私は寝ようかな,そうなんだ,2,3,1,0
3,最近プロセカハマってるの,おー楽しいよね,あの人気なやつだよね,へーなにそれ,友達がやってて楽しそうだった！,1,2,0,3
4,ゲームクリエイターになるのが夢なの！,夢に向かって頑張ってるよね,そうなんだ！意外,ゲームわからないな,ゲームって何おいしいの,3,2,1,0
5,よく不思議人間って言われるの,確かにいつも変なこと言うよね,面白くていいところだと思うよ～,どういうこと,いつもふざけてるってこと？,2,3,0,1
6,ペンだこ薬指にできてるんだよね,勉強熱心なんだね,ペンの持ち方変なの？,へーすごい,あのシャーペンいいよね,3,0,1,2
7,ヒロアカ好きなんだよね～,推しだれ？,アニメ見ないからわからないなぁ,あの緑が主人公のやつ？,ヒーローって現実にいないよね,3,0,1,2
8,普段何のゲームする？,RPGかなぁ,ゲームはしないです,対戦ゲーム！今度一緒にやろ～,逆にどんなゲーム好きなの？,2,0,3,1
9,将来人を喜ばせる仕事したいんだよね～,ゲーム作りたいの？,頑張れ！,いややめた方がいいんじゃない,いつも人を笑わせてるもんね！,2,1,0,3
10,普段何して過ごしてる？,寝てるかな,ゲームとかアニメとか,勉強してるよぉ,友達と遊んでるな,0,3,2,1
